School Name,School Type,School Year,Reported,Within District Boundary,Grade Level,Number Enrolled,COMPLETE,CONDITIONAL,OUT-OF-COMPLIANCE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Complete DT,Complete Pertussis,Complete MMR,Complete Polio,Complete Hep B,Complete Varicella,Location 1
ISLANDER MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,MERCER ISLAND SCHOOL DISTRICT,6-8,365,89.3,0.3,7.1,3.3,0.8,2.5,0,0,91.2,91.5,97.8,98.1,97.3,97.8,"8225 SE 72ND
MERCER ISLAND
(47.5369727, -122.228488)"
THE CLEARWATER SCHOOL,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-12,2,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1510 196TH ST SE
BOTHELL
(47.8199363, -122.2116452)"
RAINIER MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,6-8,301,77.1,1,17.6,4.3,0,4,0.3,0,79.1,79.7,95.3,95,96.7,100,"30620 116TH AVE SE
AUBURN
(47.3273568, -122.1855431)"
ST. JOHN SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,54,70.4,24.1,0,5.6,0,5.6,0,0,74.1,74.1,98.1,98.1,96.3,92.6,"120 N 79TH ST
SEATTLE
(47.6864164, -122.3570951)"
CARRIAGE CREST ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,57,98.2,0,1.8,0,0,0,0,0,98.2,98.2,100,100,100,100,"18235 140TH AVE SE
RENTON
(47.4381801, -122.156355)"
ENVIRONMENTAL AND ADVENTURE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,49,89.8,0,2,8.2,2,6.1,0,0,93.9,93.9,93.9,95.9,93.9,95.9,"8040 NE 132ND
KIRKLAND
(47.7195589, -122.2306048)"
BEVERLY PARK ELEM AT GLENDALE,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,62,91.9,0,8.1,0,0,0,0,0,91.9,100,100,100,100,100,"1201 S 104TH ST
SEATTLE
(47.5096805, -122.317407)"
DAVID T. DENNY INTERNATIONAL SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,276,73.2,0,24.3,2.5,2.2,2.5,0.4,0.4,73.9,73.9,96.4,97.5,97.1,94.6,"8402 30 AV SW
SEATTLE
(47.5273663, -122.3710053)"
MADRONA K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,PK-8,14,57.1,0,35.7,7.1,7.1,0,0,0,57.1,57.1,92.9,92.9,85.7,92.9,"1121 33 AV
SEATTLE
(47.612342, -122.290859)"
CRYSTAL SPRINGS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,92,93.5,0,1.1,5.4,2.2,3.3,0,0,95.7,95.7,98.9,98.9,98.9,97.8,"21615 9 AV SE
BOTHELL
(47.8011518, -122.2204556)"
SHOREWOOD ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,71,78.9,0,16.9,4.2,0,4.2,0,0,84.5,84.5,100,100,97.2,98.6,"2725 SW 116TH ST
BURIEN
(47.4985032, -122.3678272)"
ORCA K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K -8,22,59.1,0,22.7,18.2,4.5,13.6,0,0,72.7,72.7,90.9,90.9,86.4,86.4,"5215 46 AVE S
SEATTLE
(47.5546949, -122.2762853)"
FRENCH-AM SCHOOL OF PUGET SOUND,PRIVATE SCHOOL,2016-17,Y,MERCER ISLAND SCHOOL DISTRICT,P-8,38,68.4,0,31.6,0,0,0,0,0,86.8,94.7,100,97.4,92.1,97.4,"3795 E MERCER WAY
MERCER ISLAND
(47.5765852, -122.2071806)"
MERIDIAN PARK ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,69,91.3,0,1.4,7.2,0,7.2,0,0,95.7,98.6,95.7,94.2,94.2,100,"17077 MERIDIAN AVENUE N.
SHORELINE
(47.7548485, -122.3368952)"
PACIFIC CASCADE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,6-8,337,94.7,0,1.5,3.9,0.6,3.3,0.3,0,97.6,97.6,99.1,98.8,97.6,97.6,"24635 SE ISSAQUAH FALL CITY ROAD
ISSAQUAH
(47.5587939, -122.010924)"
NORTH HILL ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K -6,85,94.1,1.2,4.7,0,0,0,0,0,94.1,94.1,100,100,100,100,"440 S 186TH STREET
BURIEN
(47.436928, -122.328056)"
HORIZON ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,77,80.5,0,10.4,9.1,1.3,7.8,0,0,81.8,81.8,92.2,93.5,97.4,90.9,"27641 144TH AVE SE
KENT
(47.3538697, -122.1515361)"
SAWYER WOODS ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,52,82.7,0,15.4,1.9,1.9,0,0,0,84.6,84.6,98.1,100,98.1,100,"31135 228TH AVE SE
BLACK DIAMOND
(47.3235434, -122.0396884)"
SUNRISE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,45,84.4,0,8.9,6.7,2.2,4.4,0,0,93.3,93.3,95.6,100,95.6,97.8,"14075 172 AV NE
REDMOND
(47.728022, -122.10869)"
FAMILY ACADEMY/ACADEMY NW,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K-12,4,75,0,0,25,0,25,0,0,75,75,75,75,75,75,"14629 20TH AVE SW
SEATTLE
(47.47046, -122.359253)"
SEATTLE WORLD SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,23,4.3,0,95.7,0,0,0,0,0,17.4,17.4,52.2,43.5,52.2,26.1,"301 21ST AVE E
SEATTLE
(47.6221945, -122.3053784)"
EVERGREEN SCHOOL,PRIVATE SCHOOL,2016-17,N,SHORELINE SCHOOL DISTRICT,P-8,0,,,,,,,,,,,,,,,"15201 MERIDIAN AVE N
SHORELINE
(47.7387063, -122.3350798)"
BEAR CREEK ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,79,93.7,0,0,6.3,0,6.3,0,0,94.9,94.9,96.2,96.2,94.9,94.9,"18101 AVONDALE RD NE
WOODINVILLE
(47.7587381, -122.0803656)"
SOUTHERN HEIGHTS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,46,82.6,0,17.4,0,0,0,0,0,84.8,93.5,97.8,95.7,97.8,95.7,"11249 14TH AVE S
SEATTLE
(47.5019886, -122.3156924)"
CHIEF KANIM MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,6-8,260,86.9,0,6.5,6.5,0.4,6.5,0,0,90,90.4,95.8,96.2,96.5,93.8,"32627 REDMOND-FALL CITY RD SE
FALL CITY
(47.570217, -121.905254)"
HERITAGE CHRISTIAN ACADEMY,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-9,17,82.4,0,11.8,5.9,0,5.9,0,0,100,100,100,94.1,94.1,88.2,"19527 104TH AVE NE
BOTHELL
(47.7697608, -122.2027189)"
WESTSIDE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-7,41,95.1,0,2.4,2.4,0,2.4,0,0,95.1,95.1,95.1,95.1,95.1,95.1,"7740 34TH AVE SW
SEATTLE
(47.5327938, -122.3747815)"
ST. THOMAS SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,17,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"8300 NE 12TH ST
MEDINA
(47.6212649, -122.2299178)"
RENTON ACADEMY,PUBLIC SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,K -12,6,50,0,33.3,16.7,0,16.7,0,0,66.7,66.7,100,100,100,83.3,"7100 116TH AVE SE
NEWCASTLE
(47.5382158, -122.1843318)"
HILLTOP ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,90,95.6,0,2.2,2.2,2.2,0,0,0,97.8,100,98.9,98.9,98.9,98.9,"12250 24TH AVE S
SEATTLE
(47.4927343, -122.3009758)"
LIVING WISDOM SCHOOL OF SEATTLE,PRIVATE SCHOOL,2016-17,Y,EDMONDS SCHOOL DISTRICT,P-6,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"6717 212TH ST SW
LYNWOOD
(47.807206, -122.32403)"
ROOT ACADEMY,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,PK-8,0,,,,,,,,,,,,,,,"2332 N 116TH ST
SEATTLE
(47.713345, -122.329883)"
GREEN DOT DESTINY MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,GREEN DOT PUBLIC SCHOOLS WASHINGTON STATE CHARTER DISTRICT,6-8,113,77.9,0,22.1,0,0,0,0,0,80.5,80.5,94.7,96.5,93.8,94.7,"210 S. HUDSON STREET
SEATTLE
(47.557995, -122.331304)"
EMERALD CITY SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,1-6,3,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"520 DENNY WAY
SEATTLE
(47.6185893, -122.3476454)"
SOLVE FOR X SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,4,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"100 W HARRISON
SEATTLE
(47.623019, -122.358371)"
ST. ANTHONY SCHOOL,PRIVATE SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,K-8,56,98.2,0,0,1.8,1.8,0,0,0,100,100,98.2,100,100,98.2,"336 SHATTUCK AVE S
RENTON
(47.4787589, -122.212926)"
